Nome,Partido,Twitter,Twitter UserId,Termos de Busca
Adriano Sarney,PV,@AdrianoSarney,794866608,adriano sarney
Bira do Pindaré,PSB,@BiradoPindare,137548563,bira pindaré
Carlos Madeira,Solidariedade,@carlosmadeiraof,1210509012841779201,carlos madeira
Duarte Jr,Republicanos,@DuarteJr_,63508635,"duarte jr, duarte junior"
Eduardo Braide,Podemos,@EduardoBraide,1080814654195204096,eduardo braide
Franklin Douglas,PSOL,@oifranklin,82946447,franklin douglas
Hertz Diaz ,PSTU,@HertzDias,1241164219397091332,hertz diaz
Jeisael Marx,Rede,@jeisael_,58682682,jeisael marx
Neto Evangelista,DEM,@netoevangelista,121594926,neto evangelista
Rubens Pereira Jr,PCdoB,@rubenspereirajr,57906445,"rubens pereira, rubens pereira jr, rubens pereira junior"
Silvio Antônio,PRTB,@silvioantonioma,142501634,silvio antonio
Bot de TEste,XXXX,@BotEleicao,1309177455954006017,bot eleicao
